"Nuclear production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Brazil";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;141272,570937232;290713,671539124;12381,7712811695;83662,9406706797;52278,5898538266;157351,676698195;192347,377472056;123989,681857266;151246,775580396;38005,1590713674;4729,14875322444;216595,01289768;208684,436801377;272484,952708514;280739,46689596;341960,44711952;519862,424763545;1227773,00085985;1189681,8572657;1148581,25537404;998366,294067073;847377,472055035;1182631,12639725;1061908,85640585;1201117,79879622;1114101,46173689;1248753,22441961;
"British Virgin Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brunei";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Bulgaria";;;;;;;;;;;;0;0;0;79793,6371453143;219604,471195186;428976,78417885;505932,93207223;508168,529664663;531384,350816856;530094,582975067;784092,863284613;923989,681857271;1059157,3516767;1095012,89767842;1129062,76870164;1037833,1900258;1069303,52536544;1378331,90025796;1252450,5588994;1260963,02665521;1133619,94840929;993293,207222705;1201461,73688737;1318572,65692176;1484178,8478074;1554772,14101463;1526311,26397249;1453052,45055891;1359759,24333621;1563026,65520207;1681255,37403268;1738779,01977645;1485812,55374033;1445829,75064489;1603869,30352537;1676096,30266553;1259071,36715392;1355546,0017197;1311779,87962168;1311177,98796217;
"Burkina Faso";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burundi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Cameroon";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Canada";0;0;0;7996,56061908861;12983,6629406707;11006,0189165951;14789,3379191746;13155,6319862425;78933,7919174553;45485,8125537406;89165,9501289773;366895,958727431;620034,393809118;1311607,9105761;1263628,54686157;1080825,45141875;1497506,44883922;2265004,29922615;2682889,07996562;3032760,10318144;3270163,37059331;3445141,87446262;3296388,65004301;4179707,65262255;4489251,93465179;5203869,30352539;6127858,98538266;6643250,21496134;7125279,44969909;6867755,80395532;6274032,67411869;7302665,5202064;6928804,81513331;8077128,11693899;9272055,03009463;8413069,6474635;7976526,22527949;7096130,69647467;6148839,20894242;6319088,5640585;6259587,27429066;6594582,97506452;6494067,06792781;6439552,88048155;7771883,06104905;7914015,47721414;8423387,79019781;8038865,00429927;8078331,900258;7746517,62682721;7795270,85124682;7819002,57953572
"Cape Verde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cayman Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Central African Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Channel Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chile";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
