"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Georgia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16593757893,7943;14612157480,7171;11361627937,4166;10176236298,9962;10202957305,8252;7443280274,39797;5590300206,66797;6294267730,60288;6981270040,78176;7015882120,15722;6894748101,0796;6790226419,61517;6984175270,14;7299942294,8093;7458194076,83579;7677595128,40503;6934968991,58709;7108356846,23097;7258043282,61514;6933078117,34833;7585736095,04132;
"Germany";115538998413,251;123605204620,122;132633917164,133;143240814643,687;155289708146,543;166680010971,03;176031161890,975;182007340552,463;199872881058,237;219195014740,838;299714992331,643;318646136948,395;340574521921,59;366048277759,058;377896903693,324;373223023719,724;404800153275,306;415423633049,843;437765653931,385;453762318557,593;453878005797,5;455626872052,075;453797509158,626;464019025552,437;484763848042,643;500954012897,08;507944424629,669;519796619733,885;530315029484,449;537512449088,125;525190121465,921;522898589369,089;517494005645,275;508897123577,482;508934000838,598;518425722955,057;526356164585,434;529175083535,7;533589047966,941;535642701603,027;546420496516,327;557136168653,754;568845319824,419;576014379211,879;584481248101,065;587146307224,282;592125616521,644;592822538315,158;589624668581,186;556488179670,14;593846956416,376;
"Ghana";;;;;;;;;;;;2764000000;3151000000;3668000000;3837000000;3710000000;3917000000;4091000000;3429000000;4217000000;4601000000;4652000000;4327000000;1970000000;1151000000;2083000000;3398000000;3891000000;4226000000;4396000000;4780000000;5110000000;5493000000;5413000000;5567000000;5947000000;6318000000;6927000000;5036000000;6412000000;6332000000;6608000000;6262000000;4645000000;4651000000;5337000000;6612000000;5614000000;6207000000;6580000000;7264000000;
"Gibraltar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Greece";2014428823,08286;2285804468,18011;2574767459,65695;2897983579,22668;3471712381,12673;4065319482,29385;5375335112,83427;6417737797,91269;6982004772,00794;8026157668,21038;9002200663,13302;10585050805,3642;12072615815,0617;13795808266,602;14011154683,8426;14979004967,3129;16496197238,2906;17575337225,3405;19765936374,4848;20791376451,3904;21670997752,555;22022441941,1369;22240504879,7627;23877438063,8162;25341589963,2582;26487978669,4583;27167740819,0233;28612181902,3768;31114894963,9548;32353201859,7952;32859639371,139;33543015607,98;35276486008,5945;36182736615,391;37906636655,1423;39312862716,0856;40832630405,7279;42719969010,9149;44971442476,8895;46685897554,8078;49874040057,68;51645916755,6548;53942924487,3035;56079923691,8464;57407628120,3949;58616863528,2982;60271561839,0343;63345294593,2117;64622118170,6765;62751861190,347;59544795336,63;
"Greenland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grenada";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guadeloupe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guam";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guatemala";;;;;;;;;;;;666000000;758000000;851000000;909000000;973000000;1075000000;1296000000;1446000000;1608000000;1700000000;1420000000;1359000000;1349000000;1400000000;1456000000;1217000000;1426000000;1440000000;1688000000;1857000000;1958000000;2490000000;2416000000;2710000000;3077000000;2760000000;2619000000;3503000000;4135000000;3850000000;4269000000;4432000000;5635000000;5940000000;6068000000;7138000000;7445000000;7430000000;7691000000;8163000000;
"Guernsey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guinea-Bissau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guyana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Haiti";;;;;;;;;;;;59000000;83000000;99000000;115000000;151000000;140000000;162000000;187000000;199000000;233000000;278000000;287000000;300000000;309000000;323000000;351000000;350000000;367000000;391000000;414000000;323000000;295000000;213000000;142000000;234000000;267000000;338000000;302000000;326000000;303000000;303000000;268000000;256000000;256000000;343000000;351000000;243000000;229000000;352000000;244000000;
"Holy See";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Honduras";;;;;;;;;;;;354000000;366000000;426000000;454000000;491000000;528000000;608000000;628000000;734000000;775000000;851000000;865000000;933000000;990000000;1210000000;1232000000;1482000000;1580000000;1596000000;1823000000;1793000000;1723000000;1844000000;1690000000;2020000000;2358000000;2503000000;2757000000;2845000000;3211000000;3345000000;3591000000;3839000000;4128000000;4274000000;4462000000;4959000000;5179000000;5032000000;5098000000;
"Hong Kong, China";;;;;;;;;;;;5198556411,1438;5337463020,17654;5874716622,02942;5792089132,94264;6268860000;7222022617,08721;8362386374,54458;9337071673,27263;9875953506,29856;10898413249,9852;11486811637,1494;12347388249,5964;13888153972,7975;14908401013,9128;15801684962,0615;17540164439,2354;21358919415,6158;22984736598,1946;22525883541,7326;24206327264,6157;25778430717,6634;26660159102,1464;28068848865,9549;29245042982,4038;29798849676,9058;30813011064,4084;31868414525,1414;34957366780,2619;35257776938,4697;36946432668,2671;37899851721,8474;38613368268,5607;38981437414,1261;39366238660,2786;40031360125,7852;40197159625,9352;40543636561,3133;40631873159,3505;41400841861,3019;41779451975,7209;
"Hungary";;;;;;11509982294,723;12407084142,273;13333836994,9545;14134593102,7422;15081148621,6301;16387271959,2258;17719304695,9948;18997329080,2154;20404319724,1579;21688317217,5609;22601433104,1386;24136830988,4337;25670792832,3086;27826241981,3826;28198392717,6109;28862040640,0002;29276739950,9403;30219337259,838;31357120600,4455;32852060078,5801;33673758373,6175;34326205139,0688;35836945253,3516;35733596911,1272;36236199500,2919;35554990717,1668;33402478563,7303;32259130849,7811;31003320079,9071;31293192140,4612;31681476181,0114;32616712342,7856;32812729254,9642;33008893500,7505;34002641288,0841;33789590245,1393;34900017956,1851;36016357538,5525;36862044537,8038;37207949507,0122;38041513493,9648;39074449846,2473;39934478137,3499;39974975109,0535;37740016342,8834;38701510829,0251;
"Iceland";460108455,693895;515283356,327746;529375165,864304;554307638,443763;581507267,849489;571149225,632651;567196195,735542;574872679,885887;596371094,060192;765307554,248681;1320819138,32066;1448062101,52452;1604475535,17551;2104522826,71665;2146749624,78335;2090498580,13845;2203060221,48133;2362667117,52533;2462141730,45178;2676433982,32441;2893278980,26633;2978261285,77929;3272766069,44326;3453658667,29683;3636741736,28769;3565896597,00503;3747491125,91496;3768932998,18188;4080500456,47473;4141946225,45995;4114467106,96711;4100022160,84749;4184066479,73431;4391588980,94606;4521022250,12311;4653173964,73597;4688882372,19057;5172379982,88631;5876282331,13298;6827061716,55593;7368131007,62789;7653696415,03608;8000356294,97466;8015616276,53953;8267240370,59102;8305251892,26715;9430157711,78016;11266596875,1404;15554147176,8731;16174477841,3747;16467766608,7077;
"India";;;;;;;;;;;;55522000195,9652;58285999899,4846;59853000302,529;63311000000;71382000344,2327;79145000372,7437;82370999621,1546;90726000271,6683;92710000406,7076;97898000139,8426;107448000299,927;114585000000;123219999671,428;137885999460,784;149105000570,198;164100000000;177608999350,052;198000999763,637;216699998987,037;234292999463,729;255646000000;272354000598,538;292770000000;317293998323,632;339783001409,177;347175999293,319;368957001843,756;386560000759,099;397798998464,48;407477000000;415035000000;435755998799,233;461692000417,486;492809000438,836;519703001367,588;572950997524,063;633338998921,032;662246998887,787;712497000589,942;754612003081,019;
"Indonesia";;;;;;;;;;;;1691999986,06326;1924000000;1965000000;2445000000;2803000000;2456000000;2983000000;4466000031,00814;5571000000;6808000000;7891000000;9489000000;10444000000;11539999929,9362;13158999921,7282;15500000000;17917999897,4751;20916000000;24506000135,2444;29483999840,0616;32848999824,7603;36484000000;40623000000;46549000000;51916000260,3606;59411000293,7401;67196000000;68118000000;74479999646,3619;82579999613,0189;88230000408,0878;90746000000;94481000000;105921000000;113133000497,719;118372000000;126996000546,309;134343000571,791;141751000597,061;153831999358,688;
"Iran";;;;;;;;;;;;8027000000;9489000000;11855000000;13391000000;15006000000;16551000000;17903000000;18409000000;20692000000;20800000000;22409000000;25662000000;29759000000;32603000000;35486000000;37373000000;41347000000;42576000000;47164000000;53034000000;57366000000;62611000000;66501000000;70137000000;72753000000;79649000000;83906000000;88295000000;95018000000;101487000000;109241000000;117430000000;128663000000;138559000000;145075000000;156716000000;164594000000;174718000000;182739000000;196201000000;
"Iraq";;;;;;;;;;;;2660000000;2755000000;3343000000;3662000000;4268000000;4982563118,25035;6058731375,13515;7460327588,73704;9642866168,87027;10789937717,2497;10291855285,8921;12934564607,3998;15280755063,2396;18308876009,1924;19658017992,1235;20726778908,7434;20715462644,7715;21447908623,1713;21716877916,0977;21771861613,3602;18734738417,7134;23093582522,0553;24157309163,7616;25926343771,8869;27763850749,6358;27846572907,472;28477412244,6586;28559108256,3386;28608273239,2122;28612887525,9777;29570429190,6624;31111906182,3291;26348268925,1235;31254386165,8808;22325989735,6144;26673319160,4347;21580588288,08;21531130134,999;32381110329,7143;37470000097,8745;
"Ireland";1966184881,56685;2127068985,97932;2376309374,65842;2523080739,66312;2980193729,74482;3261063046,60619;3575353153,55857;3896178969,49129;4368805192,84526;4722815090,10622;5188102987,57291;5650038459,58456;6142604232,6753;6612422559,01748;7039208432,50996;6925403251,86939;7689149331,54213;8327769838,21827;8976545837,61377;9913590366,20971;9803335859,70464;9761837940,05213;9729586040,5072;10001061274,426;10436261279,0144;11008605556,0612;11576169105,2041;12078394633,7587;12109213398,8322;12702008170,3009;13303971042,7567;13789217688,1277;14569530471,0223;14923855832,6699;15605896711,3842;16340580008,3739;17420534132,4148;18263545735,8953;19280743520,0727;20382128524,7681;22046920298,5199;22796505594,7078;23755140822,6001;24434204297,6879;25202079701,9946;25953315508,4456;26925945311,8894;26941687011,3389;27997640941,7484;26690133693,8224;26932151599,0234;
"Isle of Man";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Israel";;;;;;;;;;;;6720942665,36331;7575983812,89708;7834911546,36974;8158131214,68759;8759220809,26194;9317783017,54883;9952037413,78356;10828843072,0867;11198268825,9377;11320459216,0908;11706778058,6451;12329321666,0878;13091282231,1815;13495037106,9969;14231939932,6719;14137496319,8418;15839045021,7441;17278577078,7933;18537979516,6003;18792598173,6051;18482058955,7486;21963135001,3664;23030552480,517;25482154250,7872;27342170295,0406;29301031145,116;30904673463,8451;33549860328,2532;35203159026,6122;38033172364,1278;39241736301,1337;40587454754,7945;41906788974,6924;42230778625,3488;43406565029,6532;45335315434,0275;48463730545,257;50589866929,7285;47977591567,543;50861132693,2158;
"Italy";48282604181,9373;52180067886,6994;57461043549,1736;64137824123,722;69093149266,4491;74439834427,1368;81553730730,3833;88413435024,8107;95882063008,035;102454174170,023;110537600667,684;115604212336,507;124126565141,484;133794094948,137;138995979688,943;136436454000,389;150097660661,442;154468253289,07;161462936032,466;170433883789,638;174558560172,955;174593148874,436;177033540876,352;177475788486,664;187387003026,581;192552346280,077;198282601911,031;208125170763,414;217406630245,819;227707142545,035;235564747582,654;240202072700,414;245248721526,933;245038891005,798;252886695767,002;261932924838,501;265258662792,926;272568072456,97;281740335122,811;288889410443,792;302020365729,944;309230186314,119;317979342325,245;325424385855,186;328612990066,542;332591723267,253;339989091183,446;339880264825,069;339056708236,533;317542918315,308;326016232453,656;
"Jamaica";;;;;;;;;;;;1552081905,31126;1870716798,22959;1968067038,10208;2088763924,69999;1410408403,37804;1512297715,66187;1573776793,6417;1593486987,8631;1461473793,40575;1429591045,47586;1420510021,27364;1718216301,98627;1681042779,36451;1363096829,2469;1347863178,57297;1420648466,47829;1514544809,41036;1458008368,27364;1379731629,5423;2077953514,64435;1721490232,19272;3523571102,93051;3755367669,72806;4221239404,79851;5158265585,48387;5330823476,94504;5523516047,79684;5784957878,28932;5922293776,58414;6024935444,97457;6090906346,82953;6336444755,69483;6577122860,18966;6551882772,44987;6645448575,30939;6614528189,70373;6912825613,27453;5412826679,81542;5200991881,5848;3350366264,29338;
"Japan";102700000000;116324165842,663;124233281952,792;143414555856,712;161364120704,107;172864809307,97;195432271951,097;224718673100,025;253823820346,128;292978004600,085;334154952220,039;359145662030,067;398466553090,085;442192695454,177;434390295424,284;446408911374,04;482773730305,726;502575403363,296;532661475246,741;559198375691,931;546849292882,533;555425193285,003;552844575090,967;588139484272,382;618665619109,467;639285476125,768;642282584026,57;682566800115,266;717046250289,186;759862553910,621;792939999478,051;820840121180,397;827360613367,837;839517813817,29;893823649789,134;916831727667,113;938535529265,146;959811517701,977;963943447725,212;981106170329,988;1002431945198,15;984842419004,86;997756712316,623;986168476089,854;1016802169351,88;1038026036527,28;1043707698966,75;1074072247468,96;1021874600988,97;991912983265,223;1062158245920,48;
"Jersey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jordan";;;;;;;;;;;;263931278,808402;322925741,742689;377550855,228463;421725365,369457;488529169,060774;592590610,452548;525339032,001144;614627104,391098;795433813,554155;916946891,33425;1090047556,80724;1338747401,42537;1751379283,16183;2070557245,54314;2290238850,22693;2485061452,25948;2833173373,15531;2951299111,26187;3126064554,97382;3587961548,8959;3438936229,3371;4046662899,81248;4415528386,57426;4817901762,11877;5314813215,73302;5695678977,67538;5810152743,77835;6157280381,95502;6386431533,16953;6646752720,3752;6897542826,23284;7394376045,25605;7735000625,48412;8529639988,65784;8983131885,79876;9982911667,50948;11174732188,6259;12243684902,0218;12725561329,5013;13770084499,0905;
"Kazakhstan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97609710667,9716;93166322742,7738;87979135086,2689;74003682679,2616;69973162717,3459;64358440076,5377;57140670970,2234;49145188667,6322;45013736300,6532;42808952037,6614;47405590731,4521;52321131868,2746;53025015299,6699;56377639374,3948;58094328182,5918;60870403143,4151;65249101629,825;69445657469,631;73410528277,4358;70447607992,3293;75766280491,7907;
"Kenya";;;;;;;;;;;;909000000;996000000;1067000000;1137000000;1220000000;1351000000;1426000000;1526000000;1640000000;1707000000;1838000000;1884000000;1946000000;2051000000;2229000000;2368000000;2645000000;2595000000;2753000000;2930000000;3061000000;3159000000;3323000000;3356000000;3490000000;3655000000;3689000000;3813000000;3625000000;3525000000;3934000000;4013000000;4310000000;4679000000;4879000000;5305000000;5582000000;5716000000;5813000000;6321000000;
"Kiribati";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"North Korea";;;;;;;;;;;;13463000000;14242000000;15021000000;15801000000;16580000000;17105000000;17631000000;18156000000;18683000000;19201000000;19723000000;20236000000;20758000000;21299000000;22731000000;22770000000;23500000000;25268000000;26471000000;25111000000;23842000000;21450000000;19192000000;19978000000;19806000000;18257000000;16461000000;14368000000;15748000000;16334000000;17007000000;16651000000;17680000000;18501000000;19292000000;18890000000;18121000000;19538000000;17759000000;18247000000;
"South Korea";;;;;;;;;;;;9570485123,61218;11339295332,6507;13345693932,7191;15689222997,1198;17420294079,1644;20400340567,1567;23627496086,5649;28347025373,5292;32491131874,8868;34223924284,7026;36981451992,1752;39752051038,8038;44834245491,2052;49910612215,4383;54288232892,7119;60823452397,2416;69717401220,3247;80942913854,1513;89300042393,1336;102002294767,081;112356827007,396;123827692786,112;136625873272,154;155737970802,421;173334833787,972;192415011762,9;210380906340,776;201822572414,933;223200221480,147;271647666231,28;291632828364,804;309957885996,514;325542855720,345;346429605991,632;367125565279,239;380543751201,563;402657698641,096;419640222726,144;426892763012,525;469523232601,012;
"United Korea (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kosovo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4070642238,23529;5059946469,27909;4906107415,21815;4710257698,71544;5138752927,62853;5254107153,32575;5382843458,93311;5801845488,4147;6409548555,75452;;;
"Kuwait";;;;;;;;;;;;2413000000;3019000000;3359000000;3749000000;4264000000;4767000000;5513000000;6424000000;7927000000;8301000000;9214000000;10763000000;11499000000;12782000000;14184000000;15665000000;16744000000;18168000000;19599000000;17230000000;10090000000;;;;21114000000;22673000000;23784000000;26686000000;28103000000;28767000000;30526000000;32362000000;35424000000;36718000000;38767000000;42170000000;42802000000;45235000000;46601000000;50136000000;
"Kyrgyz Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10241695542,904;10314866702,2135;10422202734,1985;8626595456,4173;8614427103,27568;9525830431,54109;9157786464,00484;8544276428,96687;8123401126,02223;8794962575,40699;9467866242,03822;8491941626,25629;8000175701,00387;9779749589,35618;8266781533,48875;9254360201,25518;10193946024,8352;9048542211,67717;7484195667,36233;7304231463,97191;7333712122,1021;
"Lao";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Latvia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9048561133,03376;8691435429,43981;6894735523,10374;5266016525,63697;4990083785,64724;4977057855,03425;4907751700,49755;5015632680,34088;5153872615,5271;4979811460,61756;4954903617,17415;5199998321,02695;5356702146,21932;5727797394,96384;5917354677,99253;6231557628,91043;6595761564,51108;6990134567,46189;7011757326,92466;6500817869,51944;6814493963,39808;
"Lebanon";;;;;;;;;;;;1237000000;1390000000;1612000000;1777000000;1665000000;1800000000;1935000000;2115000000;2383000000;2537000000;2741000000;2997000000;3276000000;3447000000;3511000000;3780000000;4176000000;3600000000;2250000000;1400000000;2800000000;3371000000;3964000000;4406000000;4737000000;6501000000;7755000000;9548000000;9568000000;9769000000;10014000000;10724000000;11092000000;11133000000;11301000000;11007000000;11462000000;12239000000;13137000000;15088000000;
"Lesotho";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Liberia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Libya";;;;;;;;;;;;398000000;445000000;900000000;1083000000;1428000000;1785000000;2223000000;2639000000;3255000000;3606000000;3633000000;3672000000;3724000000;3789000000;3868000000;4190000000;5874000000;6476000000;6481000000;6996000000;7533000000;8153000000;8600000000;8838000000;8762000000;9003000000;9227000000;10898000000;11484000000;11904000000;12278000000;13151000000;13593000000;14449000000;19692000000;22273000000;23883000000;24606000000;26116000000;27135000000;
"Liechtenstein";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lithuania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14870162354,327;14875707925,2532;11685789160,5502;9163532718,7516;9127239967,03439;9213005077,28909;9858649857,16122;9757430905,72473;10031370554,0565;9522632571,35301;8809238317,30835;9352511381,98117;9790145836,78046;10523523545,9389;10784904186,7906;10593478369,823;10977318366,2033;11528685482,4805;11946988074,8575;11462629940,0262;10870330060,6665;
"Luxembourg";1428145542,56776;1468662178,6678;1635232823,07093;2280132292,50231;2856414788,71091;3019045535,44495;3181896973,59948;3177790465,52934;3090448977,22197;3457069291,85185;3612138443,44003;4066650117,8374;4044390680,90017;4145312615,20902;4661668187,57921;3820063852,9043;4149835794,53942;3787692000,73058;3927431569,00281;3995872494,874;3927086272,1406;4040906975,1523;4007711105,94351;4063925540,58563;4290741479,46164;4424120641,6039;4480361860,16207;4551687406,60823;5016798845,89637;5106597427,738;5210457705,90546;5434460620,15504;5051939720,78791;5004628615,6362;5490681451,8831;6080542389,72163;6047593988,77422;6346562260,10252;6573977527,66659;6455623323,07335;6823324492,3218;6864512913,19857;7076384329,01888;7256990501,07389;7349525089,77396;7151474062,57659;7660979402,7975;7778037329,71106;7757216099,45769;7177894102,45026;8542332784,3015;
"Macao, China";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Macedonia, FYR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5325000000;5398000000;5900000000;5186000000;5368000000;5548000000;5811000000;5989000000;6180000000;5782000000;5892000000;5722000000;5646000000;6384000000;6466000000;6952000000;7121000000;7480000000;7600000000;7079000000;7399000000;
"Madagascar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malawi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malaysia";;;;;;;;;;;;3464000000;3933000000;4347000000;4752000000;5229000000;5819000000;6790000000;7356000000;8322000000;9090000000;9736000000;10544000000;11384000000;12400000000;13146000000;14183000000;15269000000;16974000000;18864000000;20867000000;23451000000;26968000000;29884000000;35662000000;41069000000;45984000000;53301000000;55847000000;60010000000;63716000000;65398000000;68281000000;71989000000;75178000000;73828000000;80324000000;87453000000;89500000000;109334000000;116937000000;
"Maldives";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mali";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Malta";;;;;;;;;;;;305642847,703997;324720952,223508;366259745,201853;306100849,017868;339862087,554483;385765356,112684;424676538,42395;469281486,353173;514723289,568586;543749760,773106;579733489,663994;615589730,529184;633696130,992001;662565269,077083;736764382,437911;794640288,08521;887477689,884901;969810292,953286;1037323007,96642;1037705056,89358;1359233703,35479;1424127249,07269;1436266451,69782;1458493617,18319;1544496521,63819;1504100974,81264;1528494161,00801;1574691454,13704;1695530770,24462;1752819334,85944;1715835772,51494;1810239710,68442;1972232449,03182;1953375985,62557;2010814462,27067;2007838772,8588;1999239838,65053;1989593591,45527;1834429685,6695;1729158775,94683;
"Marshall Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Martinique";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mauritania";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mauritius";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mayotte";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mexico";;;;;;;;;;;;26937000000;30147000000;32802000000;36367000000;39096000000;42552000000;46362000000;51252000000;55575000000;60108000000;64318000000;69705000000;72702000000;77210000000;81867000000;85020000000;90407000000;95016000000;101518000000;99476000000;110774000000;114733000000;116327000000;126321000000;130153000000;139014000000;148322000000;156607000000;163135000000;176568000000;181861000000;185158000000;183778000000;196784000000;205201001927,064;209128000000;215567000000;219353000000;217663000000;225763998009,54;
"Micronesia, Fed. Sts.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Moldova";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14119078490,2597;15035909906,0982;12973813684,8207;10509104390,2834;8637120269,62642;7601757462,86018;7383932326,04857;6733230320,8909;6144540385,91524;5112038946,54207;4126382863,11528;4538117483,32627;4700495435,48697;5320144626,61115;5495546157,06059;5779425913,90366;6002133323,19998;4930075456,31641;4828272591,82988;3591128782,98566;3748354533,13278;
"Monaco";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mongolia";;;;;;;;;;;;;;;;;;;;;;;;;;2927000000;3187000000;3279000000;3458000000;3544000000;3376000000;3063000000;2800000000;2584000000;2503000000;2546000000;2557000000;2513000000;2562000000;2531000000;2580000000;2652000000;2746000000;2885000000;3073000000;3256000000;3428000000;3589000000;3891000000;3825000000;4217000000;
"Montenegro";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3993000000;4080000000;4148000000;4020000000;3179000000;3503000000;
"Montserrat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Morocco";;;;;;;;;;;;2047000000;2319000000;2594000000;2747000000;2905000000;3254000000;3584000000;3928000000;4344000000;4735000000;5094000000;5502000000;6029000000;6226000000;6627000000;7060000000;7297000000;8149000000;8174000000;8910000000;9385000000;10339000000;10517000000;11202000000;11638000000;11879000000;12522000000;13489000000;12900000000;14110000000;15289000000;15788000000;17323000000;18439000000;19323000000;21199000000;22353000000;23247000000;23865000000;24957000000;
"Mozambique";;;;;;;;;;;;476000000;479000000;559000000;678000000;570000000;647000000;617000000;672000000;420000000;432000000;437000000;591000000;471000000;373000000;402000000;475000000;541000000;441000000;508000000;548000000;743000000;747000000;728000000;662000000;715000000;732000000;893000000;825000000;1194000000;2225000000;5054000000;4987000000;7239000000;8938000000;9243000000;9676000000;10319000000;10327000000;10363000000;10379000000;
"Myanmar";;;;;;;;;;;;553000000;605000000;666000000;672000000;774000000;859000000;952000000;1020000000;1100000000;1162000000;1065000000;1152000000;1192000000;1313000000;1595000000;1626000000;1665000000;1503000000;1638000000;1823000000;1712000000;1875000000;2173000000;2342000000;2510000000;2562000000;2903000000;2959000000;3145000000;3516000000;3229000000;3484000000;3849000000;3910000000;3664000000;4355000000;4439000000;4701000000;4993000000;6290000000;
"Namibia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1539000000;1525000000;1674000000;1520000000;1552000000;1721000000;1682000000;1881000000;2040000000;2236000000;2352000000;2082000000;2193000000;2772000000;2945000000;3163000000;3219000000;3828000000;3534000000;3376000000;
"Nauru";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nepal";;;;;;;;;;;;74000000;95000000;74000000;94000000;89000000;123000000;138000000;151000000;170000000;186000000;217000000;274000000;299000000;330000000;374000000;443000000;493000000;544000000;603000000;665000000;722000000;738000000;788000000;868000000;946000000;1020000000;1050000000;1134000000;1292000000;1408000000;1570000000;1670000000;1769000000;1892000000;1984000000;2185000000;2312000000;2226000000;2606000000;2777000000;
"Netherlands";15453737406,5555;16449142365,7532;17936800515,8361;19597783283,8569;21443403825,9702;23378385091,2732;25828452650,1593;28093478737,7976;31514846821,5446;34744176286,133;38206813913,9348;41210019034,1473;45181204913,2268;48262436651,343;50364992593,9029;51316304773,3719;54977084038,8334;56329511317,4369;59144364342,6555;61659815424,8351;61483490653,4368;60811312705,4087;60339997615,822;61528917357,1229;63441374441,9019;65285229286,805;66361081129,6628;69022759784,6497;72394448611,3029;74750485259,8242;77707002480,7528;79882874180,0653;82183739070,2262;83579799798,409;86452034551,2317;88631274552,5165;92229496742,3453;95570402590,5392;98954915962,1547;100967033192,074;104052795712,138;106133070955,206;107407583233,229;108947648934,424;113855207224,161;113938299673,931;115543752844,853;118556480392,079;119253727435,125;114187146773,808;116449135085,692;
"Netherlands Antilles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Caledonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
